Venue,State,MinAirport,Latitude,Longitude
Mustard Seed Garden,Indiana,43,,
Iron Ember,Indiana,34,,
The Meeting House,Rhode Island,67,,
Newport Beach House,Rhode Island,78,41.489387,-71.284654
Meadow Brook inn,Rhode Island,90,41.43546,-71.655078
Kinney Bungalow,Rhode Island,103,41.407,-71.4789
Glen Manor House,Rhode Island,70,41.558,-71.2389
Mount Hope Farm,Rhode Island,65,41.669,-71.257
Blissful Meadows,Massachusetts,61,42.032,-71.68133
Sycamore at Mallow Run,Indiana,30,39.551175,-86.23565
Barn at Zionsville,Indiana,35,39.999,-86.307
